,Date,Close,High,Low,Open,company
244,2021-10-11,152.00608825683594,158.6318768204469,148.71738451916897,158.6318768204469,reliance
244,2021-10-11,84330.5703125,87000.43771127796,84196.51001511383,85679.38422735009,mrf
245,2021-10-12,57.7258186340332,57.986434473773826,56.66599723417044,57.18287449102034,tata
245,2021-10-12,151.23228454589844,155.05298834578502,149.00756627022673,155.05298834578502,reliance
245,2021-10-12,85068.6171875,85607.87743989102,83902.58572918897,85033.70127938304,mrf
246,2021-10-13,58.820396423339844,59.77380952855645,57.2719186527813,57.81269553105855,tata
246,2021-10-13,158.6318817138672,162.01731821385826,149.44283978532002,149.44283978532002,reliance
246,2021-10-13,85551.09375,86126.41066074572,84838.9381648769,85282.03408564038,mrf
247,2021-10-14,170.86781311035156,174.10816542618278,157.42279957284026,161.29186991564433,reliance
247,2021-10-14,84610.015625,86284.86151419969,84402.64665740187,85679.39379802697,mrf
247,2021-10-14,59.66522979736328,60.375398465267914,58.82474656078135,59.72386538830459,tata
248,2021-10-18,83730.6171875,86275.41920415212,83444.27418709014,84934.35051185961,mrf
248,2021-10-18,61.29188537597656,61.87826776557085,60.41883348464028,61.67846138291494,tata
248,2021-10-18,176.1877899169922,178.7510579486824,171.2547339431341,171.2547339431341,reliance
249,2021-10-19,82528.4609375,84534.94926162143,82087.34409392496,83742.27535516514,mrf
249,2021-10-19,59.39158630371094,61.947765464784865,58.95071583470568,61.72190542716011,tata
249,2021-10-19,162.79115295410156,178.94452020447682,161.53370202241962,177.97725252769587,reliance
250,2021-10-20,81981.5625,83194.9347556867,80465.11492848127,82686.81872889791,mrf
250,2021-10-20,58.32305908203125,59.767295851452815,57.630261802869235,59.50668000326369,tata
250,2021-10-20,158.1966094970703,164.91911596427568,156.06862385584915,164.91911596427568,reliance
251,2021-10-21,80563.9609375,82804.53915704897,80410.529632771,82804.53915704897,mrf
251,2021-10-21,57.09383773803711,58.98545328494535,56.0361769754432,58.98545328494535,tata
251,2021-10-21,161.96896362304688,166.1765837674541,158.1482593908531,158.19662572479638,reliance
252,2021-10-22,56.2794303894043,57.5303693907571,55.21308381053168,57.45001470500769,tata
252,2021-10-22,162.25914001464844,164.4354921161862,158.1966190436444,162.50095691481928,reliance
252,2021-10-22,80142.921875,81666.33113767613,79659.49292173395,80761.25708269484,mrf
253,2021-10-25,166.51510620117188,172.1736273870056,159.64751531268254,172.1736273870056,reliance
253,2021-10-25,78848.8828125,81098.4014852254,78701.31868395617,81098.4014852254,mrf
253,2021-10-25,56.227298736572266,57.16116671579099,55.048025551882176,56.37932576017943,tata
254,2021-10-26,175.7041473388672,176.5263306731323,162.59768363608083,169.85219037607257,reliance
254,2021-10-26,79525.671875,79952.63308659643,78785.30569007086,78785.30569007086,mrf
254,2021-10-26,58.43164825439453,58.681407871920236,56.29245355130927,56.29245355130927,tata
255,2021-10-27,185.90882873535156,194.42078651993143,177.44523728236948,183.78084297903965,reliance
255,2021-10-27,78928.296875,80050.3708257318,78676.02386838447,79868.08483608726,mrf
255,2021-10-27,57.55860137939453,58.692269156047274,57.373999022274006,58.572824080830024,tata
256,2021-10-28,179.04122924804688,187.3113549856594,177.8804963816234,186.68263698245627,reliance
